French,English
partie,part
chercher,search
seulement,only
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
mettre,to put
aucun,no
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
revoir,meet again
aucune,any
parle,speak
compris,understood
étaient,were
voici,here is
pourrais,could
donner,give
type,type
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
dont,whose
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
enfant,child
venu,came
pardon,sorry
venez,come
devant,in front of
demandé,request
mis,placed
aimerais,would like to
espère,hope
eau,water
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
compte,account
donne,given
gros,large
jouer,to play
bureau,office
